Well,Sample,Cq,Efficiency,R²,Result,ID
1,KW2A,26.63049237,1.235095425,0.99635,,AS0783
2,KW2A,27.94458545,1.194490367,0.99603,,AS0784
3,KW2A,24.75729725,1.208345214,0.99592,,AS0785
4,KW3A,27.01475882,1.213870051,0.99598,,AS0786
5,KW3A,26.09964908,1.198977729,0.99642,,AS0787
6,KW3A,27.12414379,1.11304504,0.99799,,AS0788
7,KK2A,28.36646582,1.066505399,0.99886,,AS0789
8,KK2A,-1,-1,,Excluded,AS0790
9,KK2A,29.52027497,1.107116173,0.99789,,AS0791
10,KK3A,29.05725413,1.074058098,0.99878,,AS0792
11,KK3A,-1,-1,,Excluded,AS0793
12,KK3A,29.97203805,0.997007292,0.99825,,AS0794
13,KP2A,-1,-1,,,AS0795
14,KP2A,28.8415243,0.99734,0.9948,,AS0796
15,KP2A,-1,-1,,Excluded,AS0797
16,KP3A,29.82166361,1.084034399,0.99868,,AS0798
17,KP3A,29.5818059,1.054611536,0.99922,,AS0799
18,KP3A,-1,-1,,Excluded,AS0800
19,KS2A,29.14815157,1.040148046,0.99851,,AS0801
20,KS2A,28.58421052,1.027368522,0.99937,,AS0802
21,KS2A,27.4161344,1.391957163,0.99917,,AS0803
22,KS3A,27.66342778,1.1103,0.9994,,AS0804
23,KS3A,26.53508986,1.0045,0.9949,,AS0805
24,KS3A,27.617435,0.995,0.9995,,AS0806
25,OM2A,-1,-1,,Excluded,AS0807
26,OM2A,29.70446196,1.144138142,0.99795,,AS0808
27,OM2A,29.69537451,1.095635562,0.99879,,AS0809
28,OM3A,-1,-1,,Excluded,AS0810
29,OM3A,28.89489705,1.052072274,0.99913,,AS0811
30,OM3A,-1,-1,,Excluded,AS0812
31,OH2A,25.1878264,1.070591164,0.9992,,AS0813
32,OH2A,25.8729841,1.090825214,0.99879,,AS0814
33,OH2A,25.32097565,1.093703799,0.998929,,AS0815
34,OH3A,23.98134805,1.10092125,0.998898,,AS0816
35,OH3A,24.33361472,1.108138701,0.998867,,AS0817
36,OH3A,25.05848145,1.115356152,0.998836,,AS0818
37,OW2A,28.84590118,0.9994,0.99898,,AS0819
38,OW2A,26.83794104,1.0045,0.99901,,AS0820
39,OW2A,27.34208462,1.0554,0.9995,,AS0821
40,OW3A,28.13884715,0.9986,0.998712,,AS0822
41,OW3A,26.26347306,1.011,0.998681,,AS0823
42,OW3A,27.26737117,1.0234,0.99865,,AS0824
43,OFB,-1,-1,,Excluded,AS0828
44,OFB,-1,-1,,Excluded,AS0829
45,OFB,29.15320295,1.0606,0.998557,,AS0830
46,KNB,-1,-1,,Excluded,AS0831
47,KNB,-1,-1,,Excluded,AS0832
48,KNB,-1,-1,,Excluded,AS0833
