SampleID,Location,Depth_m
FAMA,Puʻuloa,0.7
FAMB,Puʻuloa,0.7
FBMA,Puʻuloa,2.4
FBMB,Puʻuloa,2.4
FCCA,Puʻuloa,1
FCCB,Puʻuloa,1
FFS1_2020,Lalo,0.9144
FFS2_2020,Lalo,0.9144
FFS3_2020,Lalo,0.9144
FFS4_2020,Lalo,0.9144
FOESA,Puʻuloa,1.5
FOESB,Puʻuloa,1.5
H31A,Kou,12
H31B,Kou,12
HKMA,Heʻeia Kea,1.8
HKMB,Heʻeia Kea,1.8
HKNA,Heʻeia Kea,3
HKNB,Heʻeia Kea,3
HKSA,Heʻeia Kea,2
HKSB,Heʻeia Kea,2
HMETCA,Kou,1.5
HMETCB,Kou,1.5
HSIIA,Kou,1
HSIIB,Kou,1
HSIOA,Kou,1
HSIOB,Kou,1
KBAA,Kewalo Basin,5.5
KBAB,Kewalo Basin,5.5
KBOA,Kewalo Basin,1
KBOB,Kewalo Basin,1
KHRGA,Kewalo Basin,5
KHRGB,Kewalo Basin,5
KPPA,Kewalo Basin,1.5
KPPB,Kewalo Basin,1.5
K1_2020,Hōlanikū,0.9144
K2_2020,Hōlanikū,0.9144
K3_2020,Hōlanikū,0.9144
K4_2020,Hōlanikū,0.9144
MID001A,Kuaihelani,3.6576
MID001B,Kuaihelani,3.6576
MID001C,Kuaihelani,3.6576
MID002A,Kuaihelani,3.6576
MID002B,Kuaihelani,3.6576
MID002C,Kuaihelani,3.6576
MID0289A,Kuaihelani,1.2192
MID0289B,Kuaihelani,1.2192
MID0289C,Kuaihelani,1.2192
MID0328A,Kuaihelani,2.4384
MID0328B,Kuaihelani,2.4384
MID0328C,Kuaihelani,2.4384
MID0330A,Kuaihelani,1.524
MID0330B,Kuaihelani,1.524
MID0330C,Kuaihelani,1.524
MID108A,Kuaihelani,3.048
MID108B,Kuaihelani,3.048
MID108C,Kuaihelani,3.048
MID11A,Kuaihelani,1.0668
MID11B,Kuaihelani,1.0668
MID11C,Kuaihelani,1.0668
MID110A,Kuaihelani,2.7432
MID110B,Kuaihelani,2.7432
MID110C,Kuaihelani,2.7432
MID12A,Kuaihelani,1.40208
MID12B,Kuaihelani,1.40208
MID12C,Kuaihelani,1.40208
MID17A,Kuaihelani,4.572
MID17B,Kuaihelani,4.572
MID17C,Kuaihelani,4.572
MID21A,Kuaihelani,2.7432
MID21B,Kuaihelani,2.7432
MID21C,Kuaihelani,2.7432
MID21HA,Kuaihelani,1.524
MID21HB,Kuaihelani,1.524
MID21HC,Kuaihelani,1.524
MID33A,Kuaihelani,2.7432
MID33B,Kuaihelani,2.7432
MID33B1:10,Kuaihelani,2.7432
MID33B1:100,Kuaihelani,2.7432
MID33B1:1000,Kuaihelani,2.7432
MID33B1:10000,Kuaihelani,2.7432
MID33C,Kuaihelani,2.7432
MID39A,Kuaihelani,7.62
MID39B,Kuaihelani,7.62
MID39C,Kuaihelani,7.62
MID40A,Kuaihelani,1.8288
MID40B,Kuaihelani,1.8288
MID40C,Kuaihelani,1.8288
MID41A,Kuaihelani,0.9144
MID41B,Kuaihelani,0.9144
MID41C,Kuaihelani,0.9144
MID7A,Kuaihelani,1.0668
MID7B,Kuaihelani,1.0668
MID7C,Kuaihelani,1.0668
MIDH21A,Kuaihelani,1.524
MIDH21B,Kuaihelani,1.524
MIDH21C,Kuaihelani,1.524
MIDR7A,Kuaihelani,10.668
MIDR7B,Kuaihelani,10.668
MIDR7C,Kuaihelani,10.668
MIDtc1A,Kuaihelani,1.8288
MIDtc1B,Kuaihelani,1.8288
MIDtc1C,Kuaihelani,1.8288
PC1,Maunalua,0.9144
PC2,Maunalua,0.9144
C1A-1,Manawai,18.5928
C1A-2,Manawai,18.5928
C1B-1,Manawai,18.5928
C1B-2,Manawai,18.5928
C2A-1,Manawai,9.144
C2A-2,Manawai,9.144
C2B-1,Manawai,9.144
C2B-2,Manawai,9.144
C3A-1,Manawai,12.192
C3A-2,Manawai,12.192
C3B-1,Manawai,12.192
C3B-2,Manawai,12.192
C4A-1,Manawai,7.62
C4A-2,Manawai,7.62
C4B-1,Manawai,7.62
C4B-2,Manawai,7.62
C5A-1,Manawai,10.668
C5A-2,Manawai,10.668
C5B-1,Manawai,10.668
C5B-2,Manawai,10.668
C6A-1,Manawai,13.4112
C6A-2,Manawai,13.4112
C6B-1,Manawai,13.4112
C6B-2,Manawai,13.4112
C7A-1,Manawai,19.812
C7A-2,Manawai,19.812
C8A-1,Manawai,12.8016
C8A-2,Manawai,12.8016
C8B-1,Manawai,12.8016
C8B-2,Manawai,12.8016
C9A-1,Manawai,6.4008
C9A-2,Manawai,6.4008
C9B-1,Manawai,6.4008
C9B-2,Manawai,6.4008
C10A-1,Manawai,7.62
C10A-2,Manawai,7.62
C10B-1,Manawai,7.62
C10B-2,Manawai,7.62
C11A-1,Manawai,13.716
C11A-2,Manawai,13.716
C12A-1,Manawai,5.1816
C12A-2,Manawai,5.1816
C12B-1,Manawai,5.1816
C12B-2,Manawai,5.1816
C12C-1,Manawai,5.1816
C12C-2,Manawai,5.1816
C12D-1,Manawai,5.1816
C12D-2,Manawai,5.1816
C13A-1,Manawai,7.62
C13A-2,Manawai,7.62
C13B-1,Manawai,7.62
C13B-2,Manawai,7.62
C14A-1,Manawai,4.8768
C14A-2,Manawai,4.8768
C14B-1,Manawai,4.8768
C14B-2,Manawai,4.8768
C15A-1,Manawai,23.1648
C15A-2,Manawai,23.1648
C15B-1,Manawai,23.1648
C15B-2,Manawai,23.1648
M009,Maunalua,0.9144
